Sample,Mean Intensity (dB),Std Intensity (dB),Elongation Ratio,Compactness,Prediction,Confidence,Non-oil Prob,Oil-like Prob
Extract_1,-25.0036790492211,1.9310000289738825,3.26398788362281,13.177194231349622,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_2,-26.75185087646051,0.8183923284706837,1.916167224336399,17.724994478173898,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_3,-23.19107990605433,1.5913016089144636,1.841168988591605,19.488467486753905,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_4,-21.340458873596624,0.8972747549495865,2.163649934414201,6.117876667508375,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_5,-25.566062056323698,1.334659004285133,2.6638900372842316,7.950895383366713,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_6,-23.105176842220963,0.7952914049128585,2.384289297070436,9.22815133599276,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_7,-24.35144012626371,1.6992463459502187,2.1993475643167195,11.741985453031397,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_8,-23.26068344910366,0.6650305778079968,3.0150897038028766,5.898910102683956,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_9,-27.479587256117764,1.9284397521546666,3.7312640661491185,16.742754917979838,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_10,-25.563089846613035,0.7367409596089374,3.1684660530243134,10.482592393573222,Oil-like,0.8959999999999999,0.10400000000000001,0.8959999999999999
Extract_11,-13.267770590931327,3.8369776573004293,1.0171942605576092,3.2733010051969553,Non-oil,1.0,1.0,0.0
Extract_12,-12.447320110399898,4.288810167755751,1.1558555380447055,2.300170052944527,Non-oil,0.98,0.98,0.02
Extract_13,-10.719738323940323,2.999107029918923,1.4847923138822794,2.9378320584027864,Non-oil,0.968,0.968,0.032
Extract_14,-8.363006350614866,4.916033846154652,1.2989499894055425,3.304685587557792,Non-oil,0.98,0.98,0.02
Extract_15,-13.469044987688482,3.029153728531692,1.022613644455269,1.813325826908161,Non-oil,0.96,0.96,0.04
Extract_16,-11.667936261863108,3.232642385789519,1.4143687545759647,1.8918833167339733,Non-oil,0.92,0.92,0.08
Extract_17,-12.314392941875715,3.965279424527271,1.0704621124873812,3.0054924518850994,Non-oil,1.0,1.0,0.0
Extract_18,-13.552696137921375,5.164594728821397,1.3861223846483286,1.496789203835431,Non-oil,0.86,0.86,0.14
Extract_19,-13.966867297258386,4.701745856828053,1.3534286719238087,2.8225179201024684,Non-oil,0.86,0.86,0.14
Extract_20,-9.372377919884325,2.699920559682044,1.1792328642721364,1.2896726488128243,Non-oil,0.98,0.98,0.02
