mean_intensity,std_intensity,elongation_ratio,compactness,label
-14.667605533621662,2.6865006296730636,1.3332007652232791,3.63897391039638,0
-15.431825931842122,2.309793885652666,1.4413794373525513,3.6364255971100325,0
-15.116446551743206,2.5553058384617233,1.5122102060975449,2.849612071096272,0
-15.515338985864604,2.976849465562238,1.3426372121231964,3.8156906092060723,1
-14.776183122421097,3.0147700786658698,1.3862700609590868,3.8177709404653144,1
-15.730175146022022,3.05702114410497,1.3807413808491793,3.8468648666498346,1
-16.050792227824395,2.3563149873858165,1.6885580376166558,2.8619539054189795,1
-15.520331688203143,2.6850573431732814,1.2906625608907951,3.0099926116638747,0
-15.882241914974633,2.2393170201697825,1.6487134266368806,2.9384279747160886,1
-14.954610664204703,3.053697455816156,1.5238594733947657,2.5195416948383675,1
-15.403461452026024,3.087886490622705,1.4946675765698811,4.246846476163321,1
-16.082395230247624,2.2514288244324767,1.3146685707734171,3.972804030131281,1
-14.157815637639544,3.494195616314843,1.2866959200363102,2.4914291110403233,0
-15.825625971207526,2.0856302841339724,1.5124678112004128,4.373211384589923,1
-14.6501071742986,3.4630499415646323,1.408383190908817,3.5471713760055192,0
-16.081293544352327,2.1568517605016004,1.5545720998174546,3.912951452973802,1
-13.530536199462782,2.4046596288351,1.4780578216190374,3.108637536208584,0
-14.929500962685964,3.2763966484872644,1.476974460529748,4.282511987404376,0
-14.853230561247809,2.7472935746797083,1.5221454203750524,3.938403556544528,1
-14.840488680945487,2.711946313624721,1.6376681795876789,4.111340305900106,1
-14.702295537159454,2.9187728164445965,1.2102568263225741,2.9824956552523125,0
-14.337720688781955,3.393174941184594,1.570871127791781,2.769284163710907,0
-14.858158338646769,2.4877850963370425,1.6093892502746403,2.7617473214366997,1
-14.138464451314942,3.0248720424344686,1.498869905603371,3.7356944804024277,1
-14.472547527872521,2.8165427047100575,1.5359445211466882,4.100046246796023,0
-15.855792778721966,2.6939344351089742,1.647309002163352,3.954338139532616,1
-14.075219884731824,2.1408510736841277,1.5690408472900506,3.387500438609142,1
-13.519604962941719,3.4771374366176437,1.2834042057429342,4.161190429287832,0
-15.183993347659717,3.097384282632998,1.3326519928122358,2.6207041679811276,1
-14.440351688308567,2.8776515181058437,1.4346433852701896,2.6360284154897267,0
-14.060336860452171,2.5053436876566604,1.3728471662754798,4.079397014284958,1
-14.323116374156852,3.17357822608741,1.526806504394667,3.9768984185026532,1
-14.836985969290705,2.290213513901178,1.424918726351164,4.2152505690107605,0
-16.07560523728115,2.7796609228340268,1.4348012705725146,4.157766731765219,1
-15.342218575222892,2.740204611207279,1.2350570987055354,4.173915646062126,0
-16.421034637935897,3.4043183693655346,1.320788513460589,3.582592670602141,1
-13.59268281190605,2.9253184700798873,1.5223970199100634,3.4004530843125234,0
-14.227384345693919,2.360315384642116,1.4269248878515615,2.8131255674027273,0
-15.709609737558123,2.7608522130325888,1.316629143620157,2.7966864019241777,1
-14.643233697000047,2.638240001672113,1.4383739970187852,3.242077525969205,1
-14.480385145146855,3.1434277021649235,1.6191254595434539,3.3711666296258658,1
-16.401641148328725,2.18316487101504,1.4808796113133742,4.36775003505581,1
-15.651374518642985,3.2222376706197684,1.33204593855387,4.2896333121210555,1
-14.498514166598456,2.973519141544747,1.5677567892857671,3.2939269658116603,0
-14.075447387303639,2.680684312075459,1.3944201853385856,2.646993494660025,1
-14.248245339971854,2.6325813903101833,1.4107311188940206,3.6847006571867245,1
